,data_type,garnet_formula
545,mixed,TmZr2Sb2Li3O12
546,mixed,TmZr2Sb2Li3O12
547,mixed,TmZr2Sb2Li3O12
548,mixed,TmZr2Sb2Li3O12
549,mixed,TmZr2Sb2Li3O12
550,mixed,TmZr2Sb2Li3O12
551,mixed,TmZr2Sb2Li3O12
552,mixed,TmZr2Sb2Li3O12
553,mixed,TmZr2Sb2Li3O12
554,mixed,TmZr2Sb2Li3O12
555,mixed,TmZr2Sb2Li3O12
556,mixed,TmZr2Sb2Li3O12
557,mixed,TmZr2Sb2Li3O12
558,mixed,TmZr2Sb2Li3O12
559,mixed,TmZr2Sb2Li3O12
560,mixed,LuSr2Sn2Al3O12
561,mixed,LuSr2Sn2Al3O12
562,mixed,LuSr2Sn2Al3O12
563,mixed,LuSr2Sn2Al3O12
564,mixed,LuSr2Sn2Al3O12
565,mixed,LuSr2Sn2Al3O12
566,mixed,LuSr2Sn2Al3O12
567,mixed,LuSr2Sn2Al3O12
568,mixed,LuSr2Sn2Al3O12
569,mixed,LuSr2Sn2Al3O12
570,mixed,LuSr2Sn2Al3O12
571,mixed,LuSr2Sn2Al3O12
572,mixed,LuSr2Sn2Al3O12
573,mixed,LuSr2Sn2Al3O12
574,mixed,LuSr2Sn2Al3O12
575,mixed,LuSr2Sn2Al3O12
576,mixed,LuSr2Sn2Al3O12
577,mixed,LuSr2Sn2Al3O12
578,mixed,LuSr2Sn2Al3O12
579,mixed,LuSr2Sn2Al3O12
580,mixed,NdZr2Sb2Li3O12
581,mixed,NdZr2Sb2Li3O12
582,mixed,NdZr2Sb2Li3O12
583,mixed,NdZr2Sb2Li3O12
584,mixed,NdZr2Sb2Li3O12
585,mixed,NdZr2Sb2Li3O12
586,mixed,NdZr2Sb2Li3O12
587,mixed,NdZr2Sb2Li3O12
588,mixed,NdZr2Sb2Li3O12
589,mixed,NdZr2Sb2Li3O12
590,mixed,NdZr2Sb2Li3O12
591,mixed,NdZr2Sb2Li3O12
592,mixed,NdZr2Sb2Li3O12
593,mixed,NdZr2Sb2Li3O12
594,mixed,NdZr2Sb2Li3O12
595,mixed,NdZr2Sb2Li3O12
596,mixed,NdZr2Sb2Li3O12
597,mixed,NdZr2Sb2Li3O12
598,mixed,NdZr2Sb2Li3O12
599,mixed,NdZr2Sb2Li3O12
600,mixed,YCa2Sn2Al3O12
601,mixed,YCa2Sn2Al3O12
602,mixed,YCa2Sn2Al3O12
